Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
System Idle Process	91.79	0 K	24 K	0		
System	0.06	176 K	2,244 K	4		
 Interrupts	0.95	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		744 K	1,420 K	372	Windows Session Manager	Microsoft Corporation
csrss.exe	< 0.01	3,628 K	6,324 K	544	Client Server Runtime Process	Microsoft Corporation
 conhost.exe	< 0.01	2,096 K	4,164 K	16144	Console Window Host	Microsoft Corporation
wininit.exe		2,076 K	5,168 K	604	Windows Start-Up Application	Microsoft Corporation
 services.exe	0.13	10,284 K	17,756 K	668	Services and Controller app	Microsoft Corporation
  svchost.exe	0.01	6,728 K	12,436 K	848	Host Process for Windows Services	Microsoft Corporation
   WSCommCntr4.exe	< 0.01	40,348 K	50,756 K	10728	Autodesk InfoCenter	Autodesk, Inc.
   iexplore.exe	< 0.01	22,008 K	37,344 K	8884	Internet Explorer	Microsoft Corporation
    iexplore.exe	0.01	36,176 K	34,344 K	13520	Internet Explorer	Microsoft Corporation
   UcMapi.exe	0.01	69,824 K	86,192 K	6904	Skype for Business	Microsoft Corporation
   lynchtmlconv.exe	< 0.01	63,288 K	68,028 K	14424	Microsoft Lync	Microsoft Corporation
   LibWrapper30.exe		3,112 K	6,992 K	10460	External library wrapper	Autodesk, Inc.
   WmiPrvSE.exe		4,148 K	8,344 K	20440	WMI Provider Host	Microsoft Corporation
  CylanceSvc.exe	< 0.01	540,256 K	85,264 K	912	Cylance Native Agent	Cylance, Inc.
  nvvsvc.exe		4,148 K	9,488 K	1048	NVIDIA Driver Helper Service, Version 350.12	NVIDIA Corporation
   nvxdsync.exe		12,664 K	25,512 K	1748	NVIDIA User Experience Driver Component	NVIDIA Corporation
   nvvsvc.exe	< 0.01	7,304 K	15,940 K	1760	NVIDIA Driver Helper Service, Version 350.12	NVIDIA Corporation
  nvSCPAPISvr.exe		3,048 K	6,576 K	1072	Stereo Vision Control Panel API Server	NVIDIA Corporation
  svchost.exe		14,476 K	18,612 K	1120	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.01	25,896 K	24,060 K	1248	Host Process for Windows Services	Microsoft Corporation
   audiodg.exe	0.34	22,180 K	22,588 K	15520	Windows Audio Device Graph Isolation 	Microsoft Corporation
  svchost.exe		9,904 K	18,576 K	1308	Host Process for Windows Services	Microsoft Corporation
   dwm.exe	0.51	44,936 K	133,912 K	3688	Desktop Window Manager	Microsoft Corporation
   wisptis.exe	0.09	4,504 K	10,552 K	12376	Microsoft Pen and Touch Input Component	Microsoft Corporation
   WUDFHost.exe		2,944 K	7,608 K	11792	Windows Driver Foundation - User-mode Driver Framework Host Process	Microsoft Corporation
  svchost.exe		17,864 K	27,368 K	1332	Host Process for Windows Services	Microsoft Corporation
